rater_id,reference_title,soft_attribute,less_than,about_as,more_than
1,Chicken Run (2000),complicated,,"[""Toy Story 2 (1999)"",""The Lion King (1994)"",""The Incredibles (2004)"",""Snow White and the Seven Dwarfs (1937)""]","[""Good Will Hunting (1997)"",""Pulp Fiction (1994)"",""The Silence of the Lambs (1991)"",""Alien (1979)"",""Aliens (1986)"",""The Sixth Sense (1999)""]"
1,"Clockwork Orange, A (1971)",confusing,"[""Toy Story 2 (1999)"",""Jurassic Park (1993)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Ghost (1990)"",""Monsters, Inc. (2001)"",""Forrest Gump (1994)"",""Aliens (1986)"",""Snow White and the Seven Dwarfs (1937)""]","[""The Silence of the Lambs (1991)"",""The Sixth Sense (1999)""]",
1,Spider-Man (2002),crazy gore,"[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""E.T. the Extra-Terrestrial (1982)"",""Home Alone (1990)"",""Forrest Gump (1994)"",""Good Will Hunting (1997)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Jurassic Park (1993)"",""Chicken Run (2000)""]","[""The Silence of the Lambs (1991)"",""Pulp Fiction (1994)""]"
1,Snow White and the Seven Dwarfs (1937),dense,"[""Chicken Run (2000)""]","[""Spider-Man (2002)"",""E.T. the Extra-Terrestrial (1982)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Aliens (1986)"",""The Silence of the Lambs (1991)"",""Jurassic Park (1993)"",""The Lion King (1994)"",""Good Will Hunting (1997)"",""Alien (1979)""]"
1,The Incredibles (2004),documentary style,,"[""Home Alone (1990)"",""Spider-Man (2002)"",""Chicken Run (2000)"",""The Lion King (1994)"",""Snow White and the Seven Dwarfs (1937)""]","[""Pulp Fiction (1994)"",""Aliens (1986)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""The Sixth Sense (1999)"",""The Silence of the Lambs (1991)""]"
1,Ghost (1990),dramatic,"[""Schindler's List (1993)""]","[""The Sixth Sense (1999)""]","[""Pulp Fiction (1994)"",""Chicken Run (2000)"",""E.T. the Extra-Terrestrial (1982)"",""Toy Story 2 (1999)"",""Spider-Man (2002)"",""Aliens (1986)"",""The Incredibles (2004)"",""Snow White and the Seven Dwarfs (1937)""]"
1,The Lion King (1994),dynamic,"[""Ghost (1990)"",""Clockwork Orange, A (1971)"",""Pulp Fiction (1994)""]","[""Jurassic Park (1993)"",""Toy Story 2 (1999)"",""Monsters, Inc. (2001)"",""Chicken Run (2000)"",""The Incredibles (2004)"",""Snow White and the Seven Dwarfs (1937)""]","[""Home Alone (1990)""]"
1,Pulp Fiction (1994),entertaining,"[""Monsters, Inc. (2001)"",""The Lion King (1994)"",""Aliens (1986)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Schindler's List (1993)"",""The Incredibles (2004)"",""Toy Story 2 (1999)"",""Spider-Man (2002)""]","[""E.T. the Extra-Terrestrial (1982)"",""The Sixth Sense (1999)""]",
1,The Silence of the Lambs (1991),exaggerated,"[""Good Will Hunting (1997)""]","[""E.T. the Extra-Terrestrial (1982)"",""Forrest Gump (1994)""]","[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Toy Story 2 (1999)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Chicken Run (2000)"",""The Lion King (1994)"",""Aliens (1986)"",""The Sixth Sense (1999)""]"
1,E.T. the Extra-Terrestrial (1982),factual,"[""Monsters, Inc. (2001)"",""The Incredibles (2004)"",""Toy Story 2 (1999)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Alien (1979)""]","[""The Sixth Sense (1999)"",""Ghost (1990)""]","[""Home Alone (1990)"",""Clockwork Orange, A (1971)"",""Schindler's List (1993)""]"
1,Spider-Man (2002),far-fetched,"[""Home Alone (1990)"",""Good Will Hunting (1997)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Aliens (1986)""]","[""Chicken Run (2000)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""The Lion King (1994)"",""E.T. the Extra-Terrestrial (1982)"",""Toy Story 2 (1999)"",""Snow White and the Seven Dwarfs (1937)""]"
1,E.T. the Extra-Terrestrial (1982),feels real,"[""Chicken Run (2000)"",""Monsters, Inc. (2001)"",""Toy Story 2 (1999)""]","[""Alien (1979)"",""Ghost (1990)"",""The Sixth Sense (1999)"",""Spider-Man (2002)"",""Aliens (1986)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Pulp Fiction (1994)""]"
1,Home Alone (1990),fictionalized,"[""Pulp Fiction (1994)"",""The Silence of the Lambs (1991)"",""Schindler's List (1993)""]",,"[""Aliens (1986)"",""The Incredibles (2004)"",""Snow White and the Seven Dwarfs (1937)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Spider-Man (2002)"",""The Lion King (1994)"",""Monsters, Inc. (2001)""]"
1,Jurassic Park (1993),funny,"[""The Silence of the Lambs (1991)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Schindler's List (1993)"",""Clockwork Orange, A (1971)"",""Good Will Hunting (1997)""]","[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)""]","[""Home Alone (1990)"",""Pulp Fiction (1994)"",""The Incredibles (2004)"",""The Lion King (1994)""]"
1,Forrest Gump (1994),gory,"[""E.T. the Extra-Terrestrial (1982)"",""Toy Story 2 (1999)"",""The Lion King (1994)""]","[""Ghost (1990)""]","[""The Sixth Sense (1999)"",""Spider-Man (2002)"",""Aliens (1986)"",""Alien (1979)"",""Jurassic Park (1993)"",""The Incredibles (2004)""]"
1,Pulp Fiction (1994),harsh,"[""Home Alone (1990)"",""Alien (1979)"",""Forrest Gump (1994)"",""Chicken Run (2000)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""The Incredibles (2004)"",""Monsters, Inc. (2001)"",""E.T. the Extra-Terrestrial (1982)""]","[""Schindler's List (1993)"",""The Silence of the Lambs (1991)""]",
1,The Silence of the Lambs (1991),heartfelt,"[""Snow White and the Seven Dwarfs (1937)"",""Home Alone (1990)"",""Chicken Run (2000)"",""Toy Story 2 (1999)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Monsters, Inc. (2001)""]","[""Good Will Hunting (1997)"",""Forrest Gump (1994)""]","[""Schindler's List (1993)"",""The Sixth Sense (1999)""]"
1,The Incredibles (2004),impactful,,"[""Monsters, Inc. (2001)"",""Snow White and the Seven Dwarfs (1937)"",""Home Alone (1990)"",""Alien (1979)"",""E.T. the Extra-Terrestrial (1982)"",""Jurassic Park (1993)"",""Spider-Man (2002)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)""]","[""The Sixth Sense (1999)"",""Pulp Fiction (1994)""]"
1,The Sixth Sense (1999),incomprehensible,"[""Toy Story 2 (1999)"",""The Incredibles (2004)"",""Snow White and the Seven Dwarfs (1937)"",""Forrest Gump (1994)"",""Good Will Hunting (1997)"",""Ghost (1990)"",""Schindler's List (1993)"",""Alien (1979)"",""Chicken Run (2000)"",""Spider-Man (2002)""]",,
1,Snow White and the Seven Dwarfs (1937),intense,"[""Forrest Gump (1994)"",""Chicken Run (2000)"",""Good Will Hunting (1997)"",""Monsters, Inc. (2001)""]","[""E.T. the Extra-Terrestrial (1982)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Pulp Fiction (1994)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Schindler's List (1993)"",""Home Alone (1990)""]"
1,The Incredibles (2004),interesting,"[""Good Will Hunting (1997)""]","[""Snow White and the Seven Dwarfs (1937)"",""The Lion King (1994)"",""Jurassic Park (1993)"",""E.T. the Extra-Terrestrial (1982)"",""Home Alone (1990)""]","[""The Silence of the Lambs (1991)"",""Forrest Gump (1994)"",""The Sixth Sense (1999)"",""Pulp Fiction (1994)""]"
1,Forrest Gump (1994),juvenile humor,"[""Ghost (1990)"",""The Silence of the Lambs (1991)"",""E.T. the Extra-Terrestrial (1982)"",""Snow White and the Seven Dwarfs (1937)""]","[""Chicken Run (2000)"",""Home Alone (1990)"",""The Lion King (1994)"",""Spider-Man (2002)"",""Good Will Hunting (1997)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)""]",
1,Home Alone (1990),light-hearted,"[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Aliens (1986)"",""Pulp Fiction (1994)"",""Jurassic Park (1993)"",""Schindler's List (1993)"",""Alien (1979)""]","[""Toy Story 2 (1999)"",""Monsters, Inc. (2001)"",""The Lion King (1994)"",""Snow White and the Seven Dwarfs (1937)""]",
1,The Lion King (1994),long,"[""Spider-Man (2002)"",""The Incredibles (2004)""]","[""Forrest Gump (1994)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Toy Story 2 (1999)"",""E.T. the Extra-Terrestrial (1982)""]","[""Pulp Fiction (1994)"",""The Silence of the Lambs (1991)"",""Jurassic Park (1993)"",""The Sixth Sense (1999)""]"
1,Forrest Gump (1994),mainstream,"[""Toy Story 2 (1999)"",""E.T. the Extra-Terrestrial (1982)"",""The Lion King (1994)"",""Jurassic Park (1993)"",""Home Alone (1990)"",""Spider-Man (2002)"",""Snow White and the Seven Dwarfs (1937)"",""Chicken Run (2000)""]","[""Pulp Fiction (1994)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)""]",
1,The Silence of the Lambs (1991),make you think,"[""Spider-Man (2002)"",""The Lion King (1994)"",""Monsters, Inc. (2001)"",""Snow White and the Seven Dwarfs (1937)"",""Aliens (1986)"",""Jurassic Park (1993)"",""Home Alone (1990)"",""Chicken Run (2000)""]","[""Pulp Fiction (1994)""]","[""Schindler's List (1993)""]"
1,Good Will Hunting (1997),mindless,"[""Schindler's List (1993)"",""The Silence of the Lambs (1991)""]","[""E.T. the Extra-Terrestrial (1982)"",""The Sixth Sense (1999)""]","[""Jurassic Park (1993)"",""Ghost (1990)"",""Monsters, Inc. (2001)"",""Spider-Man (2002)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""The Lion King (1994)""]"
1,E.T. the Extra-Terrestrial (1982),mushy mushy,"[""Alien (1979)"",""Jurassic Park (1993)"",""Aliens (1986)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Chicken Run (2000)"",""Toy Story 2 (1999)"",""Schindler's List (1993)"",""Spider-Man (2002)"",""Pulp Fiction (1994)"",""Home Alone (1990)""]",,
1,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",original,"[""Toy Story 2 (1999)"",""The Incredibles (2004)"",""Spider-Man (2002)""]","[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""The Sixth Sense (1999)"",""The Lion King (1994)"",""Schindler's List (1993)"",""Jurassic Park (1993)"",""The Silence of the Lambs (1991)"",""E.T. the Extra-Terrestrial (1982)""]",
1,The Silence of the Lambs (1991),over the top,"[""Good Will Hunting (1997)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Ghost (1990)""]","[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Spider-Man (2002)"",""Toy Story 2 (1999)"",""Snow White and the Seven Dwarfs (1937)"",""Home Alone (1990)"",""Monsters, Inc. (2001)"",""The Lion King (1994)""]"
1,"Monsters, Inc. (2001)",overrated,"[""Jurassic Park (1993)"",""Ghost (1990)"",""Home Alone (1990)"",""Good Will Hunting (1997)"",""Pulp Fiction (1994)"",""Spider-Man (2002)"",""Chicken Run (2000)"",""The Incredibles (2004)"",""Toy Story 2 (1999)"",""Snow White and the Seven Dwarfs (1937)""]",,
1,Schindler's List (1993),playful,,"[""The Sixth Sense (1999)"",""The Silence of the Lambs (1991)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Snow White and the Seven Dwarfs (1937)"",""Jurassic Park (1993)"",""The Lion King (1994)"",""Spider-Man (2002)"",""Toy Story 2 (1999)"",""Home Alone (1990)"",""Aliens (1986)""]"
1,The Lion King (1994),pointless,"[""The Silence of the Lambs (1991)"",""Schindler's List (1993)"",""Aliens (1986)"",""Alien (1979)""]","[""The Incredibles (2004)"",""Spider-Man (2002)"",""Toy Story 2 (1999)"",""Snow White and the Seven Dwarfs (1937)"",""Chicken Run (2000)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)""]",
1,Pulp Fiction (1994),predictable,,"[""Home Alone (1990)""]","[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Good Will Hunting (1997)"",""Jurassic Park (1993)"",""Alien (1979)"",""Snow White and the Seven Dwarfs (1937)"",""Forrest Gump (1994)"",""The Lion King (1994)"",""Spider-Man (2002)"",""Monsters, Inc. (2001)""]"
1,Chicken Run (2000),realistic,,"[""Toy Story 2 (1999)"",""Snow White and the Seven Dwarfs (1937)""]","[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Ghost (1990)"",""The Sixth Sense (1999)"",""Alien (1979)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Forrest Gump (1994)"",""Home Alone (1990)"",""Pulp Fiction (1994)""]"
1,The Lion King (1994),romantic,"[""Chicken Run (2000)""]","[""E.T. the Extra-Terrestrial (1982)"",""Forrest Gump (1994)"",""Pulp Fiction (1994)"",""Jurassic Park (1993)"",""Monsters, Inc. (2001)""]","[""Aliens (1986)"",""Snow White and the Seven Dwarfs (1937)"",""Ghost (1990)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)""]"
1,E.T. the Extra-Terrestrial (1982),scary,"[""Home Alone (1990)"",""The Incredibles (2004)"",""Spider-Man (2002)"",""Forrest Gump (1994)"",""Toy Story 2 (1999)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""The Lion King (1994)""]",,"[""Jurassic Park (1993)"",""Alien (1979)"",""The Sixth Sense (1999)""]"
1,E.T. the Extra-Terrestrial (1982),serious,"[""Chicken Run (2000)""]","[""The Incredibles (2004)"",""Spider-Man (2002)"",""Jurassic Park (1993)"",""Ghost (1990)"",""The Lion King (1994)"",""Forrest Gump (1994)""]","[""Good Will Hunting (1997)"",""Pulp Fiction (1994)"",""The Sixth Sense (1999)""]"
1,"Monsters, Inc. (2001)",simplistic script,"[""Jurassic Park (1993)"",""Aliens (1986)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Pulp Fiction (1994)"",""Schindler's List (1993)"",""Ghost (1990)""]","[""Home Alone (1990)"",""The Lion King (1994)"",""Spider-Man (2002)"",""E.T. the Extra-Terrestrial (1982)""]",
1,The Lion King (1994),slow-paced,"[""Monsters, Inc. (2001)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""The Silence of the Lambs (1991)"",""Home Alone (1990)"",""Pulp Fiction (1994)""]","[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Alien (1979)"",""Jurassic Park (1993)""]","[""The Sixth Sense (1999)"",""Forrest Gump (1994)""]"
1,Snow White and the Seven Dwarfs (1937),tearful,"[""The Lion King (1994)"",""Jurassic Park (1993)"",""The Silence of the Lambs (1991)"",""The Incredibles (2004)"",""Chicken Run (2000)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Aliens (1986)"",""Good Will Hunting (1997)""]",,"[""E.T. the Extra-Terrestrial (1982)"",""Forrest Gump (1994)""]"
1,The Lion King (1994),terrifying,"[""Toy Story 2 (1999)"",""Forrest Gump (1994)""]","[""Monsters, Inc. (2001)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Home Alone (1990)"",""The Incredibles (2004)""]","[""Chicken Run (2000)"",""Clockwork Orange, A (1971)"",""Aliens (1986)"",""The Sixth Sense (1999)""]"
1,E.T. the Extra-Terrestrial (1982),tongue and cheek,"[""Schindler's List (1993)""]","[""Chicken Run (2000)"",""Toy Story 2 (1999)"",""Home Alone (1990)"",""The Sixth Sense (1999)"",""The Lion King (1994)"",""Ghost (1990)"",""Jurassic Park (1993)"",""Monsters, Inc. (2001)"",""Aliens (1986)""]",
1,Home Alone (1990),twisty,"[""Good Will Hunting (1997)"",""E.T. the Extra-Terrestrial (1982)"",""Snow White and the Seven Dwarfs (1937)"",""Spider-Man (2002)"",""The Incredibles (2004)""]","[""Toy Story 2 (1999)"",""Chicken Run (2000)"",""Aliens (1986)""]","[""Schindler's List (1993)"",""Pulp Fiction (1994)""]"
1,The Lion King (1994),typical,"[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Aliens (1986)"",""E.T. the Extra-Terrestrial (1982)"",""Spider-Man (2002)"",""Pulp Fiction (1994)"",""The Sixth Sense (1999)"",""Ghost (1990)""]","[""Snow White and the Seven Dwarfs (1937)"",""Alien (1979)""]","[""Home Alone (1990)""]"
1,Schindler's List (1993),unique story,"[""Home Alone (1990)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""The Lion King (1994)"",""Spider-Man (2002)"",""The Incredibles (2004)"",""Chicken Run (2000)""]","[""Forrest Gump (1994)"",""The Silence of the Lambs (1991)"",""The Sixth Sense (1999)""]",
1,The Lion King (1994),unrealistic,"[""Forrest Gump (1994)"",""Pulp Fiction (1994)"",""Monsters, Inc. (2001)"",""The Silence of the Lambs (1991)""]","[""The Sixth Sense (1999)"",""E.T. the Extra-Terrestrial (1982)"",""Aliens (1986)"",""Snow White and the Seven Dwarfs (1937)"",""The Incredibles (2004)"",""Chicken Run (2000)""]",
1,Home Alone (1990),violent,"[""The Lion King (1994)"",""Monsters, Inc. (2001)"",""Ghost (1990)""]","[""Aliens (1986)"",""Spider-Man (2002)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""E.T. the Extra-Terrestrial (1982)""]","[""The Incredibles (2004)"",""Jurassic Park (1993)"",""Schindler's List (1993)""]"
1,"Monsters, Inc. (2001)",well directed,,"[""The Incredibles (2004)"",""Chicken Run (2000)"",""Aliens (1986)"",""Snow White and the Seven Dwarfs (1937)""]","[""E.T. the Extra-Terrestrial (1982)"",""Schindler's List (1993)"",""Ghost (1990)"",""Forrest Gump (1994)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Pulp Fiction (1994)""]"
2,Beetlejuice (1988),action filled,"[""Forrest Gump (1994)"",""Clueless (1995)"",""Mary Poppins (1964)""]","[""Shrek (2001)""]","[""Terminator 2: Judgment Day (1991)"",""Batman Begins (2005)"",""Indiana Jones and the Last Crusade (1989)"",""Charlie's Angels (2000)"",""X-Men (2000)"",""Inception (2010)""]"
2,Aliens (1986),animated,"[""Braveheart (1995)"",""Good Will Hunting (1997)"",""Indiana Jones and the Temple of Doom (1984)"",""Mrs. Doubtfire (1993)"",""Batman (1989)""]","[""RoboCop (1987)""]","[""Monsters, Inc. (2001)"",""Harry Potter and the Chamber of Secrets (2002)""]"
2,Lethal Weapon (1987),artsy,"[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""The Mask (1994)"",""E.T. the Extra-Terrestrial (1982)""]","[""Twelve Monkeys (a.k.a. 12 Monkeys) (1995)""]","[""Life Is Beautiful (La Vita è bella) (1997)"",""Kill Bill: Vol. 2 (2004)"",""It's a Wonderful Life (1946)"",""As Good as It Gets (1997)"",""Forrest Gump (1994)""]"
2,Batman (1989),believable,"[""Beauty and the Beast (1991)"",""Back to the Future Part III (1990)"",""The Little Mermaid (1989)"",""X-Men (2000)""]","[""Indiana Jones and the Temple of Doom (1984)""]","[""The Green Mile (1999)"",""Die Hard 2 (1990)"",""Kill Bill: Vol. 1 (2003)"",""Ace Ventura: When Nature Calls (1995)""]"
2,Good Will Hunting (1997),big budget,"[""Snow White and the Seven Dwarfs (1937)""]","[""Pretty Woman (1990)"",""The Lion King (1994)""]","[""Terminator 2: Judgment Day (1991)"",""Total Recall (1990)"",""Predator (1987)"",""Edward Scissorhands (1990)"",""Beetlejuice (1988)""]"
2,Congo (1995),bizarre,"[""Beautiful Mind, A (2001)"",""The Breakfast Club (1985)"",""Twister (1996)""]","[""Speed (1994)"",""Ace Ventura: When Nature Calls (1995)""]","[""The Sixth Sense (1999)"",""The Nutty Professor (1996)"",""RoboCop (1987)"",""Back to the Future (1985)""]"
2,The Nutty Professor (1996),boring,"[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""The Sixth Sense (1999)"",""E.T. the Extra-Terrestrial (1982)"",""Men in Black (a.k.a. MIB) (1997)"",""Twelve Monkeys (a.k.a. 12 Monkeys) (1995)"",""Beauty and the Beast (1991)""]","[""Clueless (1995)"",""Happy Gilmore (1996)"",""Pirates of the Caribbean: The Curse of the Black Pearl (2003)""]",
2,Predator (1987),budget,"[""Meet the Parents (2000)"",""There's Something About Mary (1998)"",""Happy Gilmore (1996)""]","[""The Fugitive (1993)"",""The Green Mile (1999)""]","[""Mission: Impossible (1996)"",""Spider-Man (2002)"",""X-Men (2000)"",""Kill Bill: Vol. 1 (2003)"",""The Fifth Element (1997)""]"
2,Top Gun (1986),cartoonish,,"[""Catch Me If You Can (2002)"",""The Green Mile (1999)"",""Fight Club (1999)"",""Ocean's Eleven (2001)"",""There's Something About Mary (1998)""]","[""Monsters, Inc. (2001)"",""Willy Wonka & the Chocolate Factory (1971)"",""Back to the Future Part II (1989)"",""The Cable Guy (1996)"",""Naked Gun 33 1/3: The Final Insult (1994)""]"
2,Die Hard (1988),cheesy,"[""Jaws (1975)""]","[""Kill Bill: Vol. 2 (2004)"",""The Dark Knight (2008)"",""Men in Black (a.k.a. MIB) (1997)"",""Batman (1989)""]","[""Charlie's Angels (2000)"",""Beautiful Mind, A (2001)"",""The Lord of the Rings: The Fellowship of the Ring (2001)"",""As Good as It Gets (1997)"",""Naked Gun 33 1/3: The Final Insult (1994)""]"
2,Batman (1989),complicated,"[""Ace Ventura: When Nature Calls (1995)"",""American Pie (1999)"",""Meet the Parents (2000)""]","[""Die Hard 2 (1990)"",""True Lies (1994)"",""Independence Day (a.k.a. ID4) (1996)"",""Terminator 2: Judgment Day (1991)""]","[""Kill Bill: Vol. 1 (2003)"",""Seven (a.k.a. Se7en) (1995)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)""]"
2,The Fugitive (1993),confusing,"[""While You Were Sleeping (1995)"",""Batman Begins (2005)"",""Who Framed Roger Rabbit? (1988)"",""Mrs. Doubtfire (1993)"",""Snow White and the Seven Dwarfs (1937)""]","[""Die Hard (1988)"",""Saving Private Ryan (1998)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)""]",
